sku,store,attribute_set,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,configurable_attributes ,tax_class_id,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,slash_letter,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,short_description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
2P10073,default,Grouper,HP213P AM,HP213P,P10073,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	4 ,2,10W,10,4,A,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF","Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF",60,400.95, $	40.10 ,,Bottom leads (center)/2-studs,Preheat ,Parallel,0.90,2, 	2 ,CFL ,Yes,No, 	33 ,Single,120,High, 	-   ,120 +5% -10%, 	-   , 	-   , 	-   ,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   , 	-   ,4.75,2.19,1.63, 	-   , 	-   ,1.44/1.51,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""H2B13TPBLS"", ""H2B13TPW"", ""CF213S1HPTP""]",734832019342,,
3P10074,default,Grouper,HP213P BM,HP213P,P10074,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,2,B,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF","Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF",60,45.95, $	45.95 ,,Leads both ends,Preheat ,Parallel,0.90,2, 	2 ,CFL ,Yes,No, 	33 ,Single,120,High, 	-   ,120 +5% -10%, 	-   , 	-   , 	-   ,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   , 	-   ,4.75,2.19,1.63, 	-   , 	-   ,1.44/1.51,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""H2B13TPBLS"", ""H2B13TPW"", ""CF213S1HPTP""]",734832019380,,
2P10074,default,Grouper,HP213P BM,HP213P,P10074,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	4 ,2,10W,10,2,B,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF","Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF",60,400.95, $	40.10 ,,Leads both ends,Preheat ,Parallel,0.90,2, 	2 ,CFL ,Yes,No, 	33 ,Single,120,High, 	-   ,120 +5% -10%, 	-   , 	-   , 	-   ,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   , 	-   ,4.75,2.19,1.63, 	-   , 	-   ,1.44/1.51,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""H2B13TPBLS"", ""H2B13TPW"", ""CF213S1HPTP""]",734832019373,,
HP213P,default,Grouper,HP213P,HP213P,P10073,configurable,4,Both,"2P10073, 3P10073, 2P10074, 3P10074","package_piececount,version_number,slash_letter",2,,,,__MAGMI_IGNORE__,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF","Fluorescent mBallast for 2 CFT13W/GX23 or CFQ13W/GX23 CFL Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, HPF",60,400.95, $	40.10 ,,Bottom leads (center)/2-studs,Preheat ,Parallel,0.90,2, 	2 ,CFL ,Yes,No, 	33 ,Single,120,High, 	-   ,120 +5% -10%, 	-   , 	-   , 	-   ,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   , 	-   ,4.75,2.19,1.63, 	-   , 	-   ,1.44/1.51,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""H2B13TPBLS"", ""H2B13TPW"", ""CF213S1HPTP""]",734832019342,,
3P20124,default,Electronic,ISA259T8MV /A,ISA259T8MV,P20124,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Electronic,"Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8","Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8",47-63,17.45, $	17.45 ,,Leads both ends,Instant,Parallel, 	0.88 ,1/2, 	2 ,T8,Yes,No,67-112, 	-   ,120-277,High, 	0.98 ,120-277 Â±10%,0.25-0.94,-18 (16 for Energy Saving Lamps),A,N,"ANSI C62.41 , ANSI C82.11, FCC PART 18 (Class A), Class P, Type HL, Type 1 Outdoor","UL/935, CSA Certified (cUL)", 	-   , 	-   ,9.50,1.38,1.13, 	8.88 , 	18.00 ,1.10,,,,,F96T8,,,,,,,,,,,"[""IOP2P59SC"", ""REL2P59SC"", ""GE259MAXN-Ultra"", ""GE259120N"", ""QHE2x59T8UNVISNSC"", ""QTP2X59T8120ISNA"", ""B259IUNVHPA"", ""B259I120RH"", ""WHSG8UNVT8SL"", ""KTEB259UVISN"", ""KTEB2591ISN"", ""HL259ISUVW"", ""HL259ISUV"", ""EP259ISMV""]",734832016761,12E,
2P20124,default,Electronic,ISA259T8MV /A,ISA259T8MV,P20124,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	4 ,2,10W,10,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Electronic,"Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8","Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8",47-63,124.95, $	12.50 ,,Leads both ends,Instant,Parallel, 	0.88 ,1/2, 	2 ,T8,Yes,No,67-112,,120-277,High, 	0.98 ,120-277 Â±10%,0.25-0.94,-18 (16 for Energy Saving Lamps),A,N,"ANSI C62.41 , ANSI C82.11, FCC PART 18 (Class A), Class P, Type HL, Type 1 Outdoor","UL/935, CSA Certified (cUL)", 	-   , 	-   ,9.50,1.38,1.13, 	8.88 , 	18.00 ,1.10,,,,,F96T8,,,,,,,,,,,"[""IOP2P59SC"", ""REL2P59SC"", ""GE259MAXN-Ultra"", ""GE259120N"", ""QHE2x59T8UNVISNSC"", ""QTP2X59T8120ISNA"", ""B259IUNVHPA"", ""B259I120RH"", ""WHSG8UNVT8SL"", ""KTEB259UVISN"", ""KTEB2591ISN"", ""HL259ISUVW"", ""HL259ISUV"", ""EP259ISMV""]",734832016754,12E,
1P20124,default,Electronic,ISA259T8MV /A,ISA259T8MV,P20124,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	1 ,1,10,10,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Electronic,"Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8","Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8",47-63,124.95, $	12.50 ,,Leads both ends,Instant,Parallel, 	0.88 ,1/2, 	2 ,T8,Yes,No,67-112,,120-277,High, 	0.98 ,120-277 Â±10%,0.25-0.94,-18 (16 for Energy Saving Lamps),A,N,"ANSI C62.41 , ANSI C82.11, FCC PART 18 (Class A), Class P, Type HL, Type 1 Outdoor","UL/935, CSA Certified (cUL)", 	-   , 	-   ,9.50,1.38,1.13, 	8.88 , 	18.00 ,1.10,,,,,F96T8,,,,,,,,,,,"[""IOP2P59SC"", ""REL2P59SC"", ""GE259MAXN-Ultra"", ""GE259120N"", ""QHE2x59T8UNVISNSC"", ""QTP2X59T8120ISNA"", ""B259IUNVHPA"", ""B259I120RH"", ""WHSG8UNVT8SL"", ""KTEB259UVISN"", ""KTEB2591ISN"", ""HL259ISUVW"", ""HL259ISUV"", ""EP259ISMV""]",734832016747,12E,
ISA259T8MV,default,Electronic,ISA259T8MV,ISA259T8MV,P20124,configurable,4,Both,"1P20124, 2P20124, 3P20124",package_piececount,2,,,,__MAGMI_IGNORE__,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Electronic,"Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8","Fluorescent eBallast Instant Start, 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Operates 1 or 2 F96T8",47-63,124.95, $	12.50 ,,Leads both ends,Instant,Parallel, 	0.88 ,1/2, 	2 ,T8,Yes,No,67-112,,120-277,High, 	0.98 ,120-277 Â±10%,0.25-0.94,-18 (16 for Energy Saving Lamps),A,N,"ANSI C62.41 , ANSI C82.11, FCC PART 18 (Class A), Class P, Type HL, Type 1 Outdoor","UL/935, CSA Certified (cUL)", 	-   , 	-   ,9.50,1.38,1.13, 	8.88 , 	18.00 ,1.10,,,,,F96T8,,,,,,,,,,,"[""IOP2P59SC"", ""REL2P59SC"", ""GE259MAXN-Ultra"", ""GE259120N"", ""QHE2x59T8UNVISNSC"", ""QTP2X59T8120ISNA"", ""B259IUNVHPA"", ""B259I120RH"", ""WHSG8UNVT8SL"", ""KTEB259UVISN"", ""KTEB2591ISN"", ""HL259ISUVW"", ""HL259ISUV"", ""EP259ISMV""]",734832016747,12E,
3M20001,default,Electronic,PSJ226CQMVBLS /A,PSJ226CQMVBLS,M20001,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,__MAGMI_IGNORE__,__MAGMI_IGNORE__,2,Discontinued,2,Limited,Leaded,Electronic,"Fluorescent eBallast, 2 CFQ26W/G24q CFL Lamp, Program Start,. 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Bottom Leads and Studs","Fluorescent eBallast, 2 CFQ26W/G24q CFL Lamp, Program Start,. 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Bottom Leads and Studs",47-63,28.95, $	28.95 ,,Bottom leads (center)/2-studs,Program ,Series,1.00,1/2, 	2 ,CFL,Yes,No,32-59, 	-   ,120-277,High,0.98,120-277 Â±10%,0.11-0.48, 	(30),A,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   ,"6,366,032 B1 ; 6,420,838 B1 ; 5,436,529",5.00, 	3.16 , 	1.69 , 	4.38 , 	18.00 , 	0.91 ,,,,,"CFQ26W/G24q, CFS28W/GR10q, CFTR26W/GX24q, CFTR32W/GX24q, CFTR42W/GX24q, FC12T5, FC9T5, FT24W/2G11",,,,,,,,,,,"[""ICF2S26M1BS"", ""GEC242MVPSBES"", ""QTP2x26CFUNVDMPEM"", ""C2642UNVMES"", ""RHAUNV226BLS"", ""KTEB242UVPSDW"", ""HC242PSUVDJ"", ""EP2CF26PSMVDCK"", ""ICF1D38H1LD""]",734832007561,16,
5M20001,default,Electronic,PSJ226CQMVBLS /A,PSJ226CQMVBLS,M20001,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	2 ,5,10,10,__MAGMI_IGNORE__,__MAGMI_IGNORE__,2,Discontinued,2,Limited,Leaded,Electronic,"Fluorescent eBallast, 2 CFQ26W/G24q CFL Lamp, Program Start,. 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Bottom Leads and Studs","Fluorescent eBallast, 2 CFQ26W/G24q CFL Lamp, Program Start,. 120-277Vac, 50-60Hz, Normal Ballast Factor, HPF, Bottom Leads and Studs",47-63,226.50, $	22.65 ,,Bottom leads (center)/2-studs,Program ,Series,1.00,1/2, 	2 ,CFL,Yes,No,32-59,,120-277,High,0.98,120-277 Â±10%,0.11-0.48, 	(30),A,N, 	-   ,"UL/935, CSA/C22.2 CERTIFIED ", 	-   ,"6,366,032 B1 ; 6,420,838 B1 ; 5,436,529",5.00, 	3.16 , 	1.69 , 	4.38 , 	18.00 , 	0.91 ,,,,,"CFQ26W/G24q, CFS28W/GR10q, CFTR26W/GX24q, CFTR32W/GX24q, CFTR42W/GX24q, FC12T5, FC9T5, FT24W/2G11",,,,,,,,,,,"[""ICF2S26M1BS"", ""GEC242MVPSBES"", ""QTP2x26CFUNVDMPEM"", ""C2642UNVMES"", ""RHAUNV226BLS"", ""KTEB242UVPSDW"", ""HC242PSUVDJ"", ""EP2CF26PSMVDCK"", ""ICF1D38H1LD""]",734832021499,16,
