sku,store,attribute_set,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting, weight ,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
01310056NF/A,default,Grouper,01310056NF /A,01310056,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,,,,1,  1 ,,,,,,100,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B15,default,Grouper,013B15,013B15,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,,,,,,,,,,,,,,,
013B15/A,default,Grouper,013B15 /A,013B15,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B15/B,default,Grouper,013B15 /B,013B15,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B15NF/A,default,Grouper,013B15NF /A,013B15NF,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B15RC/A,default,Grouper,013B15RC /A,013B15RC,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,50,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B1NF,default,Grouper,013B1NF,013B1NF,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,,,,,,,,,,,,,,,
013B1NF/A,default,Grouper,013B1NF /A,013B1NF,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B1NF/B,default,Grouper,013B1NF /B,013B1NF,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,,,,
013B1NF/C,default,Grouper,013B1NF /C,013B1NF,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,  999.99 ,,,,,F15T8,,,,,,,,,,,,,,
